          x(meter)            y(meter)                 u(m/s)              v(m/s)
        455341.00000        4220118.50000             -0.00113              0.00876
        455574.34375        4214108.50000             -0.00085              0.01065
        450718.84375        4211549.00000              0.00172              0.00228
        450612.96875        4205807.50000             -0.00238              0.00599
        445623.71875        4203398.50000             -0.00075              0.00421
        445470.43750        4197530.50000             -0.00035              0.00533
        440671.03125        4195586.50000             -0.00289              0.01158
        439004.43750        4190534.00000              0.01312             -0.00055
        441963.34375        4186505.25000              0.01666              0.00520
        447436.34375        4186296.25000              0.00766              0.01195
        449845.37500        4181679.00000              0.00667             -0.00509
        447409.96875        4177777.75000              0.00120              0.00805
        449553.25000        4174071.25000              0.00480              0.00391
        454026.15625        4173930.00000             -0.00264              0.02020
        454576.90625        4170081.25000              0.00569              0.02502
        457317.71875        4168620.75000              0.00754              0.04818
        457028.96875        4164584.50000              0.00010              0.05493
        454343.75000        4162614.25000             -0.00335              0.01330
        454345.71875        4159087.50000             -0.08908             -0.01482
        456734.15625        4157620.50000             -0.10086             -0.00352
        457086.50000        4154857.25000             -0.04810             -0.09201
        455636.12500        4153022.50000              0.02190             -0.09068
        457113.25000        4150832.00000              0.08452             -0.08637
        456152.78125        4149047.75000              0.10049             -0.03347
        457557.96875        4146903.00000              0.10411             -0.01271
        459566.28125        4146811.75000              0.15996             -0.11040
        460620.84375        4145192.00000              0.05421             -0.14047
        462544.62500        4145484.75000              0.12783             -0.11724
        463604.40625        4144104.00000              0.24389             -0.05423
        462985.31250        4143101.50000              0.23235              0.07119
        549849.56250        4402975.50000              0.01408              0.00554
        548781.25000        4401595.50000              0.00428              0.04813
        549194.93750        4399496.00000              0.01818              0.02676
        547118.62500        4398564.00000              0.00700              0.02826
        545636.00000        4400100.50000             -0.00299              0.00568
        543579.62500        4399392.00000             -0.01080             -0.02401
        542486.31250        4401202.50000              0.02004              0.03853
        540425.43750        4400771.50000             -0.01337             -0.01214
        531836.31250        4399250.00000             -0.03186              0.01578
        529649.12500        4398612.00000             -0.02035              0.01652
        529074.18750        4395686.50000             -0.00022             -0.00503
        526602.62500        4394851.50000              0.01058             -0.03938
        525928.93750        4391698.00000             -0.02102             -0.00240
        527515.00000        4389660.00000             -0.01830              0.00065
        526670.93750        4386067.00000             -0.00254             -0.01135
        523951.81250        4385287.50000             -0.00561              0.01018
        522210.56250        4381746.50000             -0.01054             -0.00083
        518888.87500        4382526.00000             -0.01068              0.00954
        515937.75000        4380981.50000             -0.00128              0.00902
        514745.00000        4377542.00000             -0.00400              0.00591
        510283.50000        4377575.50000              0.00392              0.01462
